"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"30398";"http://pedregosa.local/img/p/4/1/0/9/4109.jpg";"Pack de ahorro de 2 cartuchos de tóner HP 05A  Negro para HP LaserJet P2035 , P2055";"CE505D";"TONER IMPRESORA";"128.200000";"155.12";"1000";"1";
"31997";"http://pedregosa.local/img/p/3/7/3/3/3733.jpg";"Impresora OKI Laser Color C332dn";"46403102";"IMPRESORAS";"155.620000";"188.3";"1000";"0";
"18772";"http://pedregosa.local/img/p/4/2/3/8/4238.jpg";"Pack de ahorro de 3 cartuchos de tóner original LaserJet HP 128A cian/magenta/amarillo. Rendimiento de 1300 páginas";"CF371AM";"TONER IMPRESORA";"146.170000";"176.87";"1000";"1";
"5517";"http://pedregosa.local/img/p/6/7/0/3/6703.jpg";"Epson Aculaser C-8500 Tambor, 50.000 Páginas";"C13S051073";"";"354.950000";"429.49";"1000";"1";
"8852";"http://pedregosa.local/img/p/8/0/0/4/8004.jpg";"Toner SAMSUNG ML-3560/ML-3561N";"ML-3560D6";"";"91.180000";"110.33";"1000";"1";
"14157";"http://pedregosa.local/img/p/9/1/9/3/9193.jpg";"OLIVETTI D-COLOR MF3000 Unidad de Imagen Negro";"B0895";"";"91.570000";"110.8";"1000";"1";
"17521";"http://pedregosa.local/img/p/7/1/1/3/7113.jpg";"LEXMARK CS310 Kit de Imagen Negro";"70C0Z10";"";"158.870000";"192.23";"1000";"1";
"32232";"http://pedregosa.local/img/p/3/1/8/2/3182.jpg";"HP DesignJet T730 Cartucho Cian Nº728";"F9J67A";"TINTA IMPRESORA";"74.412800";"90.04";"1000";"0";
"33824";"http://pedregosa.local/img/p/8/8/2/4/8824.jpg";"COLIDO Recubrimiento Rojo 60ml";"COL3D-LFD023R";"";"12.060000";"14.59";"1000";"1";
"9749";"http://pedregosa.local/img/p/7/2/4/9/7249.jpg";"Toner OKI C-8600/8800 Magenta";"43487710";"";"154.040000";"186.39";"1000";"1";
"12182";"http://pedregosa.local/img/p/8/5/4/5/8545.jpg";"Brother Cinta laminada Amarillo / negro (Flexibles) 18mm";"TZe FX-641";"";"12.740000";"15.42";"1000";"1";
"24599";"http://pedregosa.local/img/p/3/0/9/2/3092.jpg";"HP Designjet Z2100/Z3100 Nº70 Cartucho Magenta claro";"C9455A";"TINTA IMPRESORA";"65.060800";"78.72";"1000";"0";
"17689";"http://pedregosa.local/img/p/5/4/9/6/5496.jpg";"Canon MG-5450/6350 IP7250 Cartucho Gris CLI-551XL";"6447B001";"";"12.060000";"14.59";"1000";"1";
"43020";"http://pedregosa.local/img/p/6/8/4/9/6849.jpg";"Kyocera Tóner Láser TK500K para FS-5400 Negro";"1T02HG0EU0";"";"131.800000";"159.48";"1000";"1";
"12323";"http://pedregosa.local/img/p/5/4/7/4/5474.jpg";"Canon Pixma MP620/630/980 Cartucho Amarillo";"CLI-521Y";"";"10.060000";"12.17";"1000";"1";
"13449";"http://pedregosa.local/img/p/8/5/9/2/8592.jpg";"RICOH COPIADORA MPC-2030/2050/2550 TONER MAGENTA";"841198/842059";"";"71.420000";"86.42";"1000";"1";
"24824";"http://pedregosa.local/img/p/7/1/2/7/7127.jpg";"LEXMARK C-770/772 Cartucho Amarillo Alto Rendimiento Retornable";"C7700YH";"";"316.580000";"383.06";"1000";"1";
"31709";"http://pedregosa.local/img/p/7/7/4/1/7741.jpg";"SAMSUNG Black Toner f SL-K3300NR/K3250NR";"MLT-D704S";"";"48.560000";"58.76";"1000";"1";
"3990";"http://pedregosa.local/img/p/6/8/8/2/6882.jpg";"KYOCERA-MITA FS-3820N Toner";"370QD0KX";"";"135.670000";"164.16";"1000";"1";
"7431";"http://pedregosa.local/img/p/2/0/5/8/2058.jpg";"Toner NASHUATEC 3227/3133/3133L/3133D";"CT70BLKT";"";"20.420000";"24.71";"1000";"0";
"3712";"http://pedregosa.local/img/p/3/1/4/9/3149.jpg";"HP Designjet 5000/5500 Cabezal Magenta Nº81 + Limpiador. Tinta para Interior";"C4952A";"TINTA IMPRESORA";"153.406400";"185.62";"1000";"0";
"13583";"http://pedregosa.local/img/p/8/2/3/9/8239.jpg";"Brother Etiquetas identificadoras 12X12 - bolsa de 12 hojas";"ID1212";"";"3.470000";"4.2";"1000";"1";
"15579";"http://pedregosa.local/img/p/5/4/7/0/5470.jpg";"Canon Pixma MP240/260/480 Cartucho Color (en Blister)";"2972B009";"";"13.690000";"16.56";"998";"1";
"31848";"http://pedregosa.local/img/p/6/8/6/5/6865.jpg";"KYOCERA CARTUCHO DE TÓNER MAGENTA (1T02R4BNL0, TK5195M)";"1T02R4BNL0";"";"90.180000";"109.12";"1000";"1";
"33427";"http://pedregosa.local/img/p/5/9/2/5/5925.jpg";"EPSON Multipack 4-colours 34XL DURABrite Ultra Ink";"C13T34764010";"";"85.090000";"102.96";"1000";"1";
"18586";"http://pedregosa.local/img/p/6/2/4/8/6248.jpg";"EPSON Cartucho Amarillo XXL 4000 paginas WorkForce Pro WF-5xxx Series";"C13T789440";"";"48.760000";"59";"1000";"1";
"8599";"http://pedregosa.local/img/p/7/8/8/6/7886.jpg";"SAMSUNG TONER LASER AMARILLO CLX8385ND 15.000 PAGINAS";"CLX-Y8385A";"";"141.500000";"171.22";"1000";"1";
"11871";"http://pedregosa.local/img/p/7/2/4/1/7241.jpg";"OKI C-5650/5750 Tambor Magenta 20k";"43870006";"";"47.420000";"57.38";"1000";"1";
"22773";"http://pedregosa.local/img/p/6/8/5/0/6850.jpg";"KYOCERA-MITA FSC-8100DN Toner Amarillo";"1T02HPAEU0";"";"98.140000";"118.75";"1000";"1";
"15760";"http://pedregosa.local/img/p/5/4/5/4/5454.jpg";"Brother MFC-J4410DW Pack 4 Cartuchos (Negro,Cian,Magenta,Amarillo) 600 pag";"LC123VALBP";"";"45.580000";"55.15";"999";"1";
"33667";"http://pedregosa.local/img/p/5/7/3/1/5731.jpg";"EPSON WorkForce Enterprise WF-C20590 Yellow Ink";"C13T858400";"";"473.040000";"572.38";"1000";"1";
"12047";"http://pedregosa.local/img/p/6/6/6/1/6661.jpg";"Epson Aculaser M4000 Toner";"C13S051170";"";"244.240000";"295.53";"1000";"1";
"13078";"http://pedregosa.local/img/p/7/1/7/4/7174.jpg";"OKI C310/C330/C510/C530/C531/MC351/MC352/MC361/ MC362/MC561 /MC562 -Toner Magenta 2k";"44469705";"";"67.780000";"82.01";"1000";"1";
"24057";"http://pedregosa.local/img/p/9/1/5/8/9158.jpg";"Brother Cinta laminada blanco/rojo 36 mm.";"TZ-262";"";"17.780000";"21.51";"1000";"1";
"30947";"http://pedregosa.local/img/p/6/1/9/4/6194.jpg";"Epson GF SureColor serie SC-P cartucho Negro Matte UltraChrome HDX/HD 700ml";"C13T804800";"";"203.040000";"245.68";"1000";"1";
"6750";"http://pedregosa.local/img/p/2/7/8/8/2788.jpg";"Epson Stylus Photo 790/870/875D/890/900/1270/1280/1290 Cartucho Negro";"C13T00740110";"";"29.080000";"35.19";"1000";"1";
"3249";"http://pedregosa.local/img/p/7/4/2/9/7429.jpg";"Cinturon de Arrastre OKI C-9300/9500";"41946003";"";"272.890000";"330.2";"1000";"1";
"13304";"http://pedregosa.local/img/p/4/2/1/8/4218.jpg";"Cartucho de tóner original LaserJet HP 126A magenta. Rendimiento de 1000 páginas";"CE313A";"TONER IMPRESORA";"45.840000";"55.47";"1000";"1";
"15315";"http://pedregosa.local/img/p/5/7/6/9/5769.jpg";"Epson Expression Home XP-102/205/305/405 Cartucho Magenta nº18";"C13T18034012";"";"6.270000";"7.59";"1000";"1";
"31424";"http://pedregosa.local/img/p/7/5/0/6/7506.jpg";"OKI BELT-Pro9431/9542";"45531223";"";"174.770000";"211.47";"1000";"1";
"33075";"http://pedregosa.local/img/p/7/2/2/9/7229.jpg";"OKI Toner -C332/MC363-Cyan - 3K";"46508711";"";"98.630000";"119.34";"1000";"1";
"6945";"http://pedregosa.local/img/p/5/6/1/9/5619.jpg";"Cartucho de tóner Original LaserJet HP 10A negro para Laserjet 2300L y 2300 series";"Q2610A";"TONER IMPRESORA";"136.400000";"165.04";"1000";"1";
"11564";"http://pedregosa.local/img/p/6/1/6/6/6166.jpg";"Epson GF Stylus Photo 4880 Cartucho Magenta claro vivo";"C13T605600";"";"52.400000";"63.4";"1000";"1";
